horizon,candidate_model,error_type,productionareaid,productionarea,count,average_score
1,hist_gb_default,false_negative,6.0,Nordmøre og Sør-Trøndelag,30,0.1014649265739521
1,hist_gb_default,false_negative,4.0,Nordhordaland til Stadt,27,0.09754315060006781
1,hist_gb_default,false_negative,3.0,Karmøy til Sotra,21,0.10062467044738611
1,hist_gb_default,false_negative,8.0,Helgeland til Bodø,14,0.08145818195094712
1,hist_gb_default,false_negative,10.0,Andøya til Senja,11,0.10253052475064264
1,hist_gb_default,false_negative,9.0,Vestfjorden og Vesterålen,8,0.09067545098166305
1,hist_gb_default,false_negative,12.0,Vest-Finnmark,7,0.12234876863672664
1,hist_gb_default,false_negative,7.0,Nord-Trøndelag med Bindal,6,0.09451040085411676
1,hist_gb_default,false_negative,11.0,Kvaløya til Loppa,4,0.11580815220543482
1,hist_gb_default,false_negative,5.0,Stadt til Hustadvika,2,0.08579289030491519
1,hist_gb_default,false_negative,1.0,Svenskegrensen til Jæren,1,0.011631287694595465
1,hist_gb_default,false_negative,2.0,Ryfylke,1,0.027903093488883035
1,hist_gb_default,false_positive,6.0,Nordmøre og Sør-Trøndelag,60,0.4046389194149427
1,hist_gb_default,false_positive,4.0,Nordhordaland til Stadt,33,0.35923613256192577
1,hist_gb_default,false_positive,3.0,Karmøy til Sotra,31,0.4210034833999526
1,hist_gb_default,false_positive,9.0,Vestfjorden og Vesterålen,23,0.3512971664729026
1,hist_gb_default,false_positive,8.0,Helgeland til Bodø,21,0.35591441431935533
1,hist_gb_default,false_positive,10.0,Andøya til Senja,17,0.3993330007671334
1,hist_gb_default,false_positive,7.0,Nord-Trøndelag med Bindal,10,0.30020564029268143
1,hist_gb_default,false_positive,12.0,Vest-Finnmark,9,0.35073658372388117
1,hist_gb_default,false_positive,11.0,Kvaløya til Loppa,8,0.357862708140121
1,hist_gb_default,false_positive,5.0,Stadt til Hustadvika,5,0.37759369484039834
1,hist_gb_default,false_positive,2.0,Ryfylke,1,0.2129707555508419
2,hist_gb_balanced,false_negative,6.0,Nordmøre og Sør-Trøndelag,50,0.5824256585368042
2,hist_gb_balanced,false_negative,4.0,Nordhordaland til Stadt,41,0.5378746860032636
2,hist_gb_balanced,false_negative,3.0,Karmøy til Sotra,33,0.5708489988519819
2,hist_gb_balanced,false_negative,8.0,Helgeland til Bodø,17,0.5572589155858229
2,hist_gb_balanced,false_negative,10.0,Andøya til Senja,16,0.5736312953463731
2,hist_gb_balanced,false_negative,9.0,Vestfjorden og Vesterålen,14,0.5868537939138951
2,hist_gb_balanced,false_negative,11.0,Kvaløya til Loppa,9,0.598927355982997
2,hist_gb_balanced,false_negative,7.0,Nord-Trøndelag med Bindal,7,0.4483689805284721
2,hist_gb_balanced,false_negative,12.0,Vest-Finnmark,6,0.5665717705611388
2,hist_gb_balanced,false_negative,1.0,Svenskegrensen til Jæren,2,0.1731812548430623
2,hist_gb_balanced,false_negative,2.0,Ryfylke,2,0.3157729268773918
2,hist_gb_balanced,false_negative,5.0,Stadt til Hustadvika,2,0.4496269654705909
2,hist_gb_balanced,false_positive,6.0,Nordmøre og Sør-Trøndelag,125,0.8622885787148196
2,hist_gb_balanced,false_positive,4.0,Nordhordaland til Stadt,70,0.8560693175045645
2,hist_gb_balanced,false_positive,3.0,Karmøy til Sotra,56,0.8589894834443249
2,hist_gb_balanced,false_positive,8.0,Helgeland til Bodø,50,0.8522357252082903
2,hist_gb_balanced,false_positive,9.0,Vestfjorden og Vesterålen,46,0.8619692273648702
2,hist_gb_balanced,false_positive,10.0,Andøya til Senja,28,0.8441940954538826
2,hist_gb_balanced,false_positive,7.0,Nord-Trøndelag med Bindal,22,0.8505498658103999
2,hist_gb_balanced,false_positive,12.0,Vest-Finnmark,18,0.8573240318389199
2,hist_gb_balanced,false_positive,11.0,Kvaløya til Loppa,12,0.855536021674951
2,hist_gb_balanced,false_positive,5.0,Stadt til Hustadvika,8,0.8709131916712416
2,hist_gb_balanced,false_positive,2.0,Ryfylke,7,0.8158041482614847
12,xgb_gpu_balanced_baseline,false_negative,3.0,Karmøy til Sotra,42,0.3130135820025489
12,xgb_gpu_balanced_baseline,false_negative,6.0,Nordmøre og Sør-Trøndelag,38,0.2450281825700873
