task_type,horizon,candidate_model,selected,selection_score,calibration_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_roc_auc,calibration_pr_auc,calibration_rmse,calibration_mae,fit_error
classifier_any,1,hist_gb_balanced,True,0.4291044776119403,0.8300000000000002,0.3807947019867549,0.4914529914529914,0.4291044776119403,0.8942315839143659,0.3775662319599098,,,
classifier_any,1,hist_gb_default,False,0.4211469534050179,0.2,0.3626543209876543,0.5021367521367521,0.4211469534050179,0.8937714506190944,0.3769425117288842,,,
regressor_count,1,xgb_gpu_poisson,True,-0.2219820632440798,,,,,,,0.2219820632440798,0.0945331788048321,
regressor_count,1,hist_gb_squared,False,-0.2214365956803318,,,,,,,0.2214365956803318,0.0971916677777382,
regressor_count,1,hist_gb_poisson,False,-0.2232324861644142,,,,,,,0.2232324861644142,0.0944978709846687,
classifier_any,2,hist_gb_balanced,True,0.4086120018323408,0.7200000000000002,0.2995298858294157,0.6426512968299711,0.4086120018323408,0.8444966711345333,0.3926239380433075,,,
classifier_any,2,hist_gb_default,False,0.3959208158368326,0.23,0.3391572456320658,0.4755043227665706,0.3959208158368326,0.840687967092497,0.3810617604578641,,,
regressor_count,2,xgb_gpu_poisson,True,-0.3623084958423268,,,,,,,0.3623084958423268,0.1786396254884331,
regressor_count,2,hist_gb_squared,False,-0.3633014602602604,,,,,,,0.3633014602602604,0.1842805563827377,
regressor_count,2,hist_gb_poisson,False,-0.3645663158083125,,,,,,,0.3645663158083125,0.1786788519233469,
classifier_any,12,xgb_gpu_balanced,True,0.5879653238143804,0.4800000000000001,0.4649193548387096,0.7995839112343966,0.5879653238143804,0.7966318325594693,0.5753807830719679,,,
classifier_any,12,hist_gb_balanced,False,0.5776330076004343,0.5500000000000002,0.4745762711864407,0.7378640776699029,0.5776330076004343,0.7903843640729769,0.5737336504571888,,,
classifier_any,12,hist_gb_default,False,0.574718526100307,0.23,0.4553933495539335,0.7787794729542302,0.574718526100307,0.7857641037341133,0.5631445581927697,,,
regressor_count,12,xgb_gpu_poisson,True,-1.0105386499425153,,,,,,,1.0105386499425153,0.6095566190796834,
regressor_count,12,hist_gb_squared,False,-1.0321876036766728,,,,,,,1.0321876036766728,0.6301429710997785,
regressor_count,12,hist_gb_poisson,False,-1.0464456285469663,,,,,,,1.0464456285469663,0.6166280541900651,
