day,w_temp_4C,w_temp_6C,w_temp_8C,w_temp_10C,w_temp_12C,w_temp_14C,w_temp_16C,w_temp_18C,w_temp_20C
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,50.209989,50.387931,50.620879,50.860491,51.031935,51.070164,50.959564,50.744234,50.499664
2,50.420595,50.777962,51.247131,51.731284,52.078668,52.156237,51.93193,51.496181,51.00281
3,50.631818,51.170101,51.878782,52.612448,53.140318,53.258353,52.917193,52.255886,51.509453
4,50.843659,51.564354,52.515858,53.504054,54.217005,54.376648,53.915452,53.023395,52.019606
5,51.05612,51.960727,53.158386,54.406173,55.308852,55.511254,54.926802,53.798752,52.533283
6,51.269201,52.359227,53.806392,55.318873,56.415977,56.662307,55.951342,54.582004,53.050499
7,51.482904,52.75986,54.459904,56.242226,57.538504,57.829943,56.98917,55.373196,53.571265
8,51.69723,53.162634,55.118947,57.176302,58.676553,59.014295,58.040382,56.172374,54.095598
9,51.912179,53.567553,55.783549,58.121172,59.830245,60.215501,59.105076,56.979584,54.62351
10,52.127753,53.974626,56.453735,59.076907,60.999703,61.433696,60.183352,57.794871,55.155016
11,52.343952,54.383858,57.129533,60.043578,62.185049,62.669016,61.275306,58.618282,55.690129
12,52.560779,54.795256,57.810969,61.021255,63.386405,63.921597,62.381038,59.449862,56.228864
13,52.778233,55.208826,58.498071,62.01001,64.603894,65.191577,63.500646,60.289657,56.771234
14,52.996316,55.624576,59.190864,63.009914,65.837639,66.479092,64.634229,61.137714,57.317253
15,53.215028,56.042511,59.889376,64.021038,67.087762,67.784279,65.781886,61.99408,57.866935
16,53.434372,56.462638,60.593633,65.043454,68.354387,69.107276,66.943715,62.858799,58.420295
17,53.654347,56.884964,61.303663,66.077234,69.637637,70.448221,68.119817,63.731918,58.977346
18,53.874956,57.309495,62.019492,67.122449,70.937637,71.807252,69.31029,64.613484,59.538102
19,54.096198,57.736238,62.741147,68.179171,72.25451,73.184506,70.515235,65.503543,60.102577
20,54.318076,58.165199,63.468656,69.247472,73.58838,74.580124,71.73475,66.402142,60.670786
21,54.540589,58.596385,64.202044,70.327423,74.939372,75.994242,72.968937,67.309327,61.242742
22,54.76374,59.029802,64.94134,71.419098,76.30761,77.427001,74.217895,68.225145,61.81846
23,54.987529,59.465458,65.68657,72.522568,77.693219,78.87854,75.481725,69.149642,62.397953
24,55.211957,59.903358,66.437761,73.637906,79.096325,80.348998,76.760526,70.082865,62.981235
25,55.437025,60.34351,67.194941,74.765184,80.517053,81.838515,78.0544,71.024862,63.568322
26,55.662735,60.785919,67.958137,75.904475,81.955528,83.347232,79.363448,71.975678,64.159226
27,55.889087,61.230593,68.727375,77.055851,83.411876,84.875288,80.68777,72.935361,64.753962
28,56.116082,61.677537,69.502683,78.219386,84.886222,86.422825,82.027467,73.903958,65.352545
29,56.343722,62.12676,70.284089,79.395152,86.378694,87.989982,83.382642,74.881516,65.954987
30,56.572007,62.578266,71.071619,80.583221,87.889417,89.576902,84.753395,75.868082,66.561304
31,56.800938,63.032064,71.865301,81.783669,89.418519,91.183725,86.139828,76.863703,67.17151
32,57.030518,63.488159,72.665163,82.996566,90.966125,92.810593,87.542042,77.868426,67.785619
33,57.260745,63.946558,73.47123,84.221988,92.532364,94.457648,88.960141,78.882299,68.403644
34,57.491623,64.407267,74.283532,85.460007,94.117362,96.125032,90.394225,79.905369,69.025601
35,57.723151,64.870295,75.102095,86.710697,95.721247,97.812888,91.844398,80.937684,69.651503
36,57.955331,65.335646,75.926947,87.974131,97.344146,99.521358,93.310762,81.97929,70.281366
37,58.188163,65.803328,76.758116,89.250384,98.986188,101.250584,94.793418,83.030236,70.915202
38,58.42165,66.273347,77.595628,90.539529,100.6475,103.000711,96.292471,84.090569,71.553026
39,58.655791,66.74571,78.439511,91.84164,102.328212,104.77188,97.808023,85.160337,72.194853
40,58.890588,67.220424,79.289793,93.156791,104.028451,106.564237,99.340177,86.239587,72.840697
41,59.126042,67.697495,80.146502,94.485057,105.748346,108.377924,100.889036,87.328367,73.490572
42,59.362154,68.17693,81.009665,95.826511,107.488026,110.213085,102.454705,88.426726,74.144493
43,59.598925,68.658736,81.87931,97.181229,109.247621,112.069866,104.037285,89.534711,74.802474
44,59.836357,69.142919,82.755465,98.549284,111.027259,113.94841,105.636882,90.652369,75.464528
45,60.074449,69.629486,83.638157,99.930751,112.827071,115.848862,107.253598,91.779749,76.130672
46,60.313204,70.118443,84.527413,101.325706,114.647187,117.771368,108.887539,92.9169,76.800918
47,60.552622,70.609799,85.423263,102.734222,116.487735,119.716072,110.538808,94.063869,77.475281
48,60.792704,71.103558,86.325733,104.156375,118.348847,121.68312,112.207509,95.220704,78.153777
49,61.033452,71.599728,87.234852,105.592239,120.230653,123.672658,113.893748,96.387453,78.836418
50,61.274866,72.098315,88.150646,107.04189,122.133283,125.684831,115.597628,97.564166,79.52322
51,61.516947,72.599327,89.073145,108.505403,124.056869,127.719786,117.319255,98.75089,80.214197
52,61.759697,73.102769,90.002377,109.982854,126.001541,129.777669,119.058734,99.947673,80.909364
53,62.003117,73.60865,90.938368,111.474317,127.96743,131.858627,120.816169,101.154565,81.608734
54,62.247207,74.116974,91.881147,112.979869,129.954669,133.962807,122.591667,102.371614,82.312323
55,62.491969,74.62775,92.830742,114.499584,131.963388,136.090356,124.385331,103.598868,83.020145
